                                       Count	% All	% Overflowing
===> Overflow Analysis <===
Valid packages processed:              1172
... containing any overflows:          413 	35%
== Undefined ==
... containing undefined overflows:    197 	16%	47%
... containing signed overflows:       73 	6%	17%
... containing shift overflows:        174 	14%	42%
... containing signed negation errs:   17 	1%	4%
... containing division errs:          1 	0%	0%
== Not Undefined ==
... containing unsigned overflows:     355 	30%	85%
... containing unsigned negation errs: 64 	5%	15%

===> General Package Stats <===
Processed:                      10000
Success:                        8440
Fail:                           1560
C/C++:                          4852
Overflowing:                    499
Loaded IOC-instr code:          3371
== Ignoring Configure Tests ==
Overflowing:                    417
Loaded IOC-instr code:          1172

===> Run Stats <===
ETA for run completion:         0 days 0 hours 0 mins
Packages remaining:             0

====================================================================================
Package Name                   | Any | Signd | Shift | SNeg  | Div   | Usign | UNeg 
cluster-glue ................. | ... | ..... | ..... | ..... | ..... | ..... | .....
cluster ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
clzip ........................ | Yes | ..... | Shift | ..... | ..... | ..... | .....
cmus ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
cntlm ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
cone ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
confget ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
confuse ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
coq .......................... | Yes | ..... | ..... | ..... | ..... | Usign | UNeg 
cowdancer .................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
cpio ......................... | Yes | ..... | Shift | ..... | ..... | Usign | .....
cppcheck ..................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
cracklib2 .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
crawl ........................ | Yes | ..... | ..... | ..... | ..... | Usign | .....
criticalmass ................. | ... | ..... | ..... | ..... | ..... | ..... | .....
cruft ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
cryptokit .................... | Yes | ..... | Shift | ..... | ..... | Usign | .....
csmash ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
curl ......................... | Yes | Signd | ..... | ..... | ..... | Usign | .....
cvector ...................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
cvm .......................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
cxref ........................ | Yes | ..... | Shift | ..... | ..... | Usign | .....
daemon ....................... | Yes | ..... | Shift | ..... | ..... | Usign | .....
daemontools .................. | Yes | ..... | ..... | ..... | ..... | Usign | .....
dahdi-tools .................. | ... | ..... | ..... | ..... | ..... | ..... | .....
darkstat ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
dasher ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
dash ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
dataquay ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
datefudge .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
date ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
dbus-glib .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
d-conf ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
dctrl-tools .................. | ... | ..... | ..... | ..... | ..... | ..... | .....
ddd .......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
debtags ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
deja-dup ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
delta ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
dhcpcd ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
diffstat ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
diffutils .................... | Yes | ..... | Shift | ..... | ..... | Usign | UNeg 
di ........................... | ... | ..... | ..... | ..... | ..... | ..... | .....
ding-libs .................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
directfb ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
dirmngr ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
discount ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
distro-info .................. | ... | ..... | ..... | ..... | ..... | ..... | .....
djbdns ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
dmake ........................ | Yes | ..... | ..... | ..... | ..... | Usign | .....
doodle ....................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
dovecot-antispam ............. | ... | ..... | ..... | ..... | ..... | ..... | .....
dpkg ......................... | Yes | Signd | ..... | ..... | ..... | Usign | .....
dreamchess ................... | ... | ..... | ..... | ..... | ..... | ..... | .....
dsdp ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
dsh .......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
dssi ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
dulwich ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
dvipng ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
dvipost ...................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
dvipsk-ja .................... | Yes | Signd | Shift | ..... | ..... | Usign | .....
eb ........................... | ... | ..... | ..... | ..... | ..... | ..... | .....
eblook ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
eboard ....................... | ... | ..... | ..... | ..... | ..... | ..... | .....
ecore ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
ecryptfs-utils ............... | ... | ..... | ..... | ..... | ..... | ..... | .....
ed ........................... | ... | ..... | ..... | ..... | ..... | ..... | .....
efte ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
eina ......................... | Yes | Signd | Shift | ..... | ..... | Usign | .....
electric-fence ............... | ... | ..... | ..... | ..... | ..... | ..... | .....
emboss ....................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
enca ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
